,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,EXITSn_hourly
292,A002,R051,02-03-04,05-27-11,16:00:00,REGULAR,3070149,2009748,114.0
293,A002,R051,02-03-04,05-27-11,20:00:00,REGULAR,3070766,2009834,86.0
294,A002,R051,02-03-05,05-21-11,00:00:00,REGULAR,5122953,976390,-1033444.0
295,A002,R051,02-03-05,05-21-11,04:00:00,REGULAR,5123040,976392,2.0
296,A002,R051,02-03-05,05-21-11,08:00:00,REGULAR,5123098,976401,9.0
297,A002,R051,02-03-05,05-21-11,12:00:00,REGULAR,5123350,976430,29.0
298,A002,R051,02-03-05,05-21-11,16:00:00,REGULAR,5123779,976444,14.0
299,A002,R051,02-03-05,05-21-11,20:00:00,REGULAR,5124266,976465,21.0
300,A002,R051,02-03-05,05-22-11,00:00:00,REGULAR,5124615,976475,10.0
301,A002,R051,02-03-05,05-22-11,04:00:00,REGULAR,5124687,976482,7.0
302,A002,R051,02-03-05,05-22-11,08:00:00,REGULAR,5124740,976486,4.0
303,A002,R051,02-03-05,05-22-11,12:00:00,REGULAR,5124939,976512,26.0
304,A002,R051,02-03-05,05-22-11,16:00:00,REGULAR,5125305,976530,18.0
305,A002,R051,02-03-05,05-22-11,20:00:00,REGULAR,5125715,976547,17.0
306,A002,R051,02-03-05,05-23-11,00:00:00,REGULAR,5126000,976554,7.0
307,A002,R051,02-03-05,05-23-11,04:00:00,REGULAR,5126037,976554,0.0
308,A002,R051,02-03-05,05-23-11,08:00:00,REGULAR,5126178,976615,61.0
309,A002,R051,02-03-05,05-23-11,12:00:00,REGULAR,5126731,976700,85.0
310,A002,R051,02-03-05,05-23-11,16:00:00,REGULAR,5127158,976723,23.0
311,A002,R051,02-03-05,05-23-11,20:00:00,REGULAR,5128108,976744,21.0
312,A002,R051,02-03-05,05-24-11,00:00:00,REGULAR,5128470,976757,13.0
313,A002,R051,02-03-05,05-24-11,04:00:00,REGULAR,5128505,976758,1.0
