,district,sub_district,sum(aadhaar_generated)
577,Narsinghpur,Gotegaon,14
578,Narsinghpur,Kareli,7
579,Narsinghpur,Narsimhapur,7
580,Narsinghpur,Tendukheda,4
581,Nashik,Baglan,15
582,Nashik,Chandvad,3
583,Nashik,Deola,2
584,Nashik,Dindori,0
585,Nashik,Kalwan,32
586,Nashik,Malegaon,5
587,Nashik,Nandgaon,32
588,Nashik,Nashik,1
589,Nashik,Niphad,27
590,Nashik,Sinnar,5
591,Nashik,Surgana,0
592,Nashik,Yevla,2
593,Nawada,Rajauli,1
594,North 24 Parganas,Gaighata,1
595,North Delhi,Delhi,1
596,North East Delhi,Seelam Pur,1
597,North Tripura,Dasda,2
598,North Tripura,Dharmanagar,1
599,North West Delhi,Model Town,4
600,North West Delhi,Narela,3
601,North West Delhi,Saraswati Vihar,4
602,Osmanabad,Kalamb,6
603,Osmanabad,Lohara,8
604,Osmanabad,Osmanabad,4
605,Osmanabad,Paranda,1
606,Osmanabad,Tuljapur,2
607,Osmanabad,Umarga,5
608,Others,Others,2
609,Pakur,Amrapara,4
610,Pakur,Hiranpur,4
611,Pakur,Litipara,8
612,Pakur,Maheshpur,103
613,Pakur,Pakur,6
614,Pakur,Pakuria,47
615,Palamu,Chainpur,2
616,Palamu,Daltonganj,1
617,Palamu,Leslieganj,4
618,Palamu,Panki,2
619,Palamu,Patan,4
620,Pali,Raipur,2
621,Palwal,Palwal,0
622,Panipat,Israna,8
623,Panipat,Panipat,186
624,Panna,Ajaigarh,24
625,Panna,Gunnor,57
626,Panna,Panna,44
627,Panna,Pawai,54
628,Panna,Shahnagar,32
629,Parbhani,Gangakhed,1
630,Parbhani,Parbhani,1
631,Pathankot,Pathankot,20
632,Patna,Phulwari,1
633,Pratapgarh,Dhariawad,2
634,Puducherry,Villianur Taluk,0
635,Pune,Ambegaon,2
636,Pune,Baramati,28
637,Pune,Bhor,8
638,Pune,Daund,26
639,Pune,Indapur,7
640,Pune,Khed,26
641,Pune,Mawal,7
642,Pune,Mulshi,0
643,Pune,Pune City,7
644,Pune,Purandhar,4
645,Pune,Shirur,12
646,Pune,Velhe,0
647,Puruliya,Jhalda - I,1
648,Raichur,Manvi,1
649,Raichur,Sindhnur,4
650,Raigarh,Karjat,2
651,Raigarh,Khalapur,5
652,Raigarh,Mangaon,2
653,Raigarh,Panvel,0
654,Raigarh,Uran,14
655,Raisen,Bareli,16
656,Raisen,Begamganj,10
657,Raisen,Gairatganj,15
658,Raisen,Goharganj,1
659,Raisen,Raisen,7
660,Raisen,Silwani,7
661,Raisen,Udaipura,9
662,Rajsamand,Bhim,20
663,Rajsamand,Deogarh,1
664,Ramanagar,Channapatna,2
665,Ramanagar,Kanakapura,41
666,Ramanagar,Magadi,5
667,Ramanagar,Ramanagaram,16
668,Ramgarh,Gola,0
669,Ramgarh,Mandu,2
670,Ramgarh,Patratu,7
671,Ramgarh,Ramgarh,1
672,Ranchi,Bero,6
673,Ranchi,Bundu,1
674,Ranchi,Chanho,3
675,Ranchi,Kanke,13
676,Ranchi,Lapung,2
677,Ranchi,Mandar,2
678,Ranchi,Namkum,4
679,Ranchi,Ranchi,7
680,Ranchi,Ratu,21
681,Ranchi,Tamar I,6
682,Ratlam,Alot,11
683,Ratlam,Jaora,3
684,Ratlam,Piploda,1
685,Ratnagiri,Ratnagiri,2
686,Rewa,Gurh,41
687,Rewa,Hanumana,36
688,Rewa,Huzur,59
689,Rewa,Mauganj,156
690,Rewa,Raipur - Karchuliyan,38
691,Rewa,Sirmour,116
692,Rewa,Teonthar,76
693,Rewari,Kosli,11
694,Rewari,Rewari,8
695,Rohtak,Maham,1
696,Rohtak,Rohtak,66
697,SAS Nagar (Mohali),Dera Bassi,11
698,SAS Nagar (Mohali),Kharar,1
699,SAS Nagar (Mohali),S.A.S.Nagar (mohali),2
700,Sagar,Banda,79
701,Sagar,Bina,10
702,Sagar,Deori,23
703,Sagar,Garhakota,37
704,Sagar,Kesli,34
705,Sagar,Khurai,31
706,Sagar,Rahatgarh,10
707,Sagar,Rehli,6
708,Sagar,Sagar,33
709,Sahebganj,Barhait,25
710,Sahebganj,Barharwa,7
711,Sahebganj,Borio,11
712,Sahebganj,Mandro,2
