id,user,uid,version,changeset,timestamp
17010796,Your Village Maps,227972,5,21542150,2014-04-06T22:22:39Z
17013465,balrog-kun,20587,2,4318132,2010-04-03T23:52:05Z
17013722,DavidJDBA,139555,2,4226358,2010-03-25T03:44:54Z
17013995,oddityoverseer,1209932,2,17389228,2013-08-17T21:31:24Z
17014276,torapa,5446055,3,47552098,2017-04-07T20:42:33Z
17014582,mattchn,1778953,14,39026274,2016-05-01T21:34:34Z
17014893,GPS_dr,117055,2,3802818,2010-02-06T06:43:28Z
17015175,Raymo853,2017512,2,45807652,2017-02-04T15:09:21Z
17015496,Mark Newnham,994480,2,28515148,2015-01-31T00:27:36Z
17015731,release_candidate,1239795,4,35625774,2015-11-28T10:26:36Z
17016051,samlibby,1263353,3,33728091,2015-09-01T13:48:52Z
17016345,GPS_dr,117055,7,20275166,2014-01-30T00:20:57Z
17016733,balrog-kun,20587,3,4318132,2010-04-03T23:53:45Z
17016956,bgirardot,359133,3,40623118,2016-07-10T04:40:23Z
17017142,balrog-kun,20587,3,4318132,2010-04-03T23:55:33Z
17017339,Your Village Maps,227972,5,34748473,2015-10-20T08:35:59Z
17017494,balrog-kun,20587,2,4318132,2010-04-03T23:57:00Z
17017678,balrog-kun,20587,2,4318132,2010-04-03T23:57:39Z
17018019,me0,2098497,4,33560766,2015-08-25T02:29:20Z
17018239,Raymo853,2017512,3,45753038,2017-02-02T17:00:43Z
17018408,balrog-kun,20587,2,4318132,2010-04-04T00:00:01Z
17018597,balrog-kun,20587,2,4318132,2010-04-04T00:00:38Z
17018760,balrog-kun,20587,3,4318132,2010-04-04T00:01:16Z
17018931,balrog-kun,20587,2,4318132,2010-04-04T00:01:53Z
17019145,mattchn,1778953,5,37810042,2016-03-13T23:24:24Z
17019332,release_candidate,1239795,3,35624913,2015-11-28T09:22:37Z
17019551,Justin Lewis,446855,3,8008403,2011-04-30T05:14:11Z
17019805,GPS_dr,117055,4,7540583,2011-03-13T04:28:07Z
17020074,balrog-kun,20587,2,4318132,2010-04-04T00:04:48Z
17020297,mattchn,1778953,3,35182845,2015-11-09T03:40:50Z
17020531,GPS_dr,117055,3,7572345,2011-03-16T04:48:18Z
17020750,balrog-kun,20587,2,4318132,2010-04-04T00:06:45Z
17020926,GPS_dr,117055,3,7622985,2011-03-20T23:25:16Z
17021074,balrog-kun,20587,2,4318132,2010-04-04T00:07:41Z
17021191,TheNormsk,495102,3,9095422,2011-08-22T16:26:24Z
17021308,UE_Su,1061145,3,30484893,2015-04-25T21:01:38Z
17021426,DaveHansenTiger,7168,1,345684,2007-12-18T07:35:29Z
17021555,DaveHansenTiger,7168,1,345684,2007-12-18T07:37:06Z
17021676,DaveHansenTiger,7168,1,345684,2007-12-18T07:39:10Z
17021810,markvwald,313092,6,33137412,2015-08-05T19:19:56Z
17021927,balrog-kun,20587,2,4318132,2010-04-04T00:09:53Z
17022042,Adam Martin,1539368,6,32766731,2015-07-21T01:07:13Z
17022168,balrog-kun,20587,2,4318132,2010-04-04T00:10:39Z
17022286,PierZen,226516,6,14033384,2012-11-25T17:45:11Z
17022440,balrog-kun,20587,2,4318132,2010-04-04T00:11:24Z
17022589,GPS_dr,117055,3,7622985,2011-03-20T23:35:54Z
17022730,balrog-kun,20587,2,4318132,2010-04-04T00:12:06Z
17022861,balrog-kun,20587,2,4318132,2010-04-04T00:12:24Z
17022990,GPS_dr,117055,3,7551724,2011-03-14T02:43:37Z
17023120,me0,2098497,2,24194088,2014-07-17T04:41:51Z
17023247,release_candidate,1239795,3,35641357,2015-11-29T07:35:03Z
17023381,GPS_dr,117055,2,24822946,2014-08-18T04:31:46Z
17023515,balrog-kun,20587,3,4318132,2010-04-04T00:13:57Z
17023651,Mark Newnham,994480,4,28707104,2015-02-08T18:02:55Z
17023787,DaveHansenTiger,7168,1,345787,2007-12-18T08:05:57Z
17023917,balrog-kun,20587,2,4318132,2010-04-04T00:14:59Z
17024046,balrog-kun,20587,2,4318132,2010-04-04T00:15:18Z
17024176,balrog-kun,20587,2,4318132,2010-04-04T00:15:39Z
17024298,DaveHansenTiger,7168,1,345787,2007-12-18T08:11:45Z
17024441,DaveHansenTiger,7168,1,345787,2007-12-18T08:13:44Z
17024567,DaveHansenTiger,7168,1,345787,2007-12-18T08:15:03Z
17024695,DaveHansenTiger,7168,1,345787,2007-12-18T08:16:23Z
17024809,balrog-kun,20587,2,4318132,2010-04-04T00:17:18Z
17024930,balrog-kun,20587,2,4318132,2010-04-04T00:17:59Z
17025045,balrog-kun,20587,2,4318132,2010-04-04T00:18:27Z
17025172,DaveHansenTiger,7168,1,345887,2007-12-18T08:24:28Z
17025307,balrog-kun,20587,2,4318132,2010-04-04T00:19:59Z
17025423,balrog-kun,20587,2,4318132,2010-04-04T00:20:28Z
17025536,balrog-kun,20587,2,4318132,2010-04-04T00:20:59Z
17025655,balrog-kun,20587,2,4318132,2010-04-04T00:21:35Z
17025788,Your Village Maps,227972,6,24666068,2014-08-11T01:30:01Z
17025903,DaveHansenTiger,7168,1,345887,2007-12-18T08:35:52Z
17026029,jkljkl,634840,3,11047303,2012-03-21T00:05:34Z
17026184,balrog-kun,20587,2,4318132,2010-04-04T00:23:31Z
17026302,balrog-kun,20587,2,4318132,2010-04-04T00:24:00Z
17026425,balrog-kun,20587,2,4318132,2010-04-04T00:24:47Z
17026537,balrog-kun,20587,2,4318132,2010-04-04T00:25:17Z
17026657,balrog-kun,20587,2,4318132,2010-04-04T00:25:53Z
17026787,balrog-kun,20587,3,4318132,2010-04-04T00:26:34Z
17026904,me0,2098497,6,22639606,2014-05-30T14:48:07Z
17027054,Your Village Maps,227972,4,45932293,2017-02-08T23:29:00Z
17027184,balrog-kun,20587,2,4318132,2010-04-04T00:28:13Z
17027316,DaveHansenTiger,7168,1,346086,2007-12-18T08:54:17Z
17027436,HurricaneCoast,91266,4,6201921,2010-10-27T21:02:41Z
17027896,Your Village Maps,227972,4,24666068,2014-08-11T01:50:57Z
17043974,KPost,709340,2,13853996,2012-11-12T23:53:15Z
17044717,KPost,709340,2,13866415,2012-11-14T00:18:37Z
17045412,KPost,709340,2,13990527,2012-11-22T20:24:35Z
17045825,balrog-kun,20587,2,4318132,2010-04-04T01:06:05Z
17046125,NE2,207745,3,7270079,2011-02-12T22:44:16Z
